pays Name,pays Code,série Name,série Code,2016 [YR2016]
Afghanistan,AFG,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,495628745528.633
Afrique du Sud,ZAF,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,3071658000000
Albanie,ALB,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,760515814700
Algérie,DZA,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,5968351629300
Allemagne,DEU,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,2855352400000
Andorre,AND,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,1924840000
Angola,AGO,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,1676595000000
Antigua-et-Barbuda,ATG,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,3246514900
Arabie saoudite,SAU,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,2589562258200
Argentine,ARG,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,704711352400
Arménie,ARM,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,2139687757600
Aruba,ABW,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,..
Australie,AUS,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,1661739000000
Autriche,AUT,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,316424777900
Azerbaïdjan,AZE,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,20526638200
Bahamas,BHS,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,10220800000
Bahreïn,BHR,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,..
Bangladesh,BGD,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,8835389000000
Barbade,BRB,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,1138800000
Bélarus,BLR,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,1926253500
Belgique,BEL,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,389268880200
Belize,BLZ,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,2783785000
Bénin,BEN,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,4095407000000
Bermudes,BMU,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,..
Bhoutan,BTN,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,64037430000
Bolivie,BOL,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,44374306000
Bosnie-Herzégovine,BIH,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,27928626200
Botswana,BWA,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,89775056640.625
Brésil,BRA,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,1751917534100
Brunéi Darussalam,BRN,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,18136537500
Bulgarie,BGR,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,83905100000
Burkina Faso,BFA,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,4635926000000
Burundi,BDI,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,1706110200300
Cabo Verde,CPV,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,145879943543.785
Cambodge,KHM,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,45999748689500
Cameroun,CMR,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,15064751000000
Canada,CAN,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,1877714311200
Chili,CHL,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,145957266982996
Chine,CHN,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,73514519818852.1
"Chine, RAS de Hong Kong",HKG,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,2447500000000
Chypre,CYP,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,16139800000
Cisjordanie et Gaza,PSE,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,8037000000
Colombie,COL,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,541675000000000
Comores,COM,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,116057877500
"Congo, République démocratique du",COD,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,11058444867513.7
"Congo, République du",COG,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,1650590000000
"Corée, République de",KOR,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,1.508265E+15
"Corée, République démocratique de",PRK,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,..
Costa Rica,CRI,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,27069118929400
Côte d'Ivoire,CIV,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,17291963133770.5
Croatie,HRV,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,331684931800
Cuba,CUB,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,..
Curacao,CUW,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,..
Danemark,DNK,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,1954477000000
Djibouti,DJI,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,..
Dominique,DMA,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,1223857578.72157
"Égypte, République arabe d’",EGY,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,1917200000000
El Salvador,SLV,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,10224280000
Émirats arabes unis,ARE,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,1391127357900
Équateur,ECU,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,69068458000
Érythrée,ERI,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,..
Espagne,ESP,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,1105770000000
Estonie,EST,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,17976621400
États-Unis,USA,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,16920327941800
