Rang	Pays	OH	OF	OX	OT	AH	AF	AX	AT	BH	BF	BX	BT	TH	TF	TX	TT	CT
1	Norvège	10	4	0	14	8	5	1	14	6	3	2	11	24	12	3	39	1
2	Allemagne	6	4	4	14	5	4	1	10	4	2	1	7	15	10	6	31	2
3	Canada	6	2	3	11	2	5	1	8	4	5	1	10	12	12	5	29	3
4	États-Unis	4	5	0	9	5	3	0	8	0	4	2	6	9	12	2	23	4
5	Pays-Bas	3	5	0	8	3	3	0	6	2	4	0	6	8	12	0	20	5
6	Suède	2	5	0	7	2	4	0	6	0	1	0	1	4	10	0	14	10
7	Rép. de Corée	3	2	0	5	4	3	1	8	4	0	0	4	11	5	1	17	6
8	Suisse	2	2	1	5	3	2	1	6	2	2	0	4	7	6	2	15	8
9	France	3	1	1	5	1	2	1	4	4	2	0	6	8	5	2	15	8
10	Autriche	4	1	0	5	0	1	2	3	4	1	1	6	8	3	3	14	10
11	Japon	1	3	0	4	3	2	0	5	1	3	0	4	5	8	0	13	12
12	Italie	0	3	0	3	1	1	0	2	2	2	1	5	3	6	1	10	13
13	OAR	1	1	0	2	4	1	1	6	6	3	0	9	11	5	1	17	6
14	Rép. tchèque	0	2	0	2	1	1	0	2	0	3	0	3	1	6	0	7	15
15	Bélarus	0	2	0	2	0	1	0	1	0	0	0	0	0	3	0	3	18
16	Chine	1	0	0	1	2	3	1	6	1	1	0	2	4	4	1	9	14
17	Slovaquie	0	1	0	1	0	2	0	2	0	0	0	0	0	3	0	3	18
18	Finlande	1	0	0	1	0	1	0	1	0	4	0	4	1	5	0	6	16
19	Grande-Bretagne	0	1	0	1	0	0	0	0	2	2	0	4	2	3	0	5	17
20	Pologne	1	0	0	1	0	0	0	0	1	0	0	1	2	0	0	2	21
21	Hongrie	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	25
21	Ukraine	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	25
23	Australie	0	0	0	0	2	0	0	2	1	0	0	1	3	0	0	3	18
24	Slovénie	0	0	0	0	1	0	0	1	1	0	0	1	2	0	0	2	21
25	Belgique	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	25
26	Espagne	0	0	0	0	0	0	0	0	2	0	0	2	2	0	0	2	21
26	Nouvelle-Zélande	0	0	0	0	0	0	0	0	1	1	0	2	1	1	0	2	21
28	Kazakhstan	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	25
28	Lettonie	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	25
28	Liechtenstein	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	25
