Athlete_unique_url,Athlete,Trigram,Country,Event,Gender,Sport,Gold,Silver,Bronze,Total,Participations
/olympics/athletes/aa/hans-aasnaes-1.html,"AasnAs,Hans",NOR,Norway,Summer,Male,Shooting,0,0,0,0,5
/olympics/athletes/aa/kjetil-andre-aamodt-1.html,"Aamodt,Kjetil AndrA",NOR,Norway,Winter,Male,Alpine Skiing,4,2,2,8,5
/olympics/athletes/ab/abdi-abdirahman-1.html,"Abdirahman,Abdi",USA,United States,Summer,Male,Athletics,0,0,0,0,4
/olympics/athletes/ab/anne-abernathy-1.html,"Abernathy,Anne",ISV,United States Virgin Islands,Winter,Female,Luge,0,0,0,0,5
/olympics/athletes/ab/carmine-abbagnale-1.html,"Abbagnale,Carmine",ITA,Italy,Summer,Male,Rowing,2,1,0,3,4
/olympics/athletes/ab/giuseppe-abbagnale-1.html,"Abbagnale,Giuseppe",ITA,Italy,Summer,Male,Rowing,2,1,0,3,4
/olympics/athletes/ab/julien-absalon-1.html,"Absalon,Julien",FRA,France,Summer,Male,Cycling,2,0,0,2,4
/olympics/athletes/ab/roger-abel-1.html,"Abel,Roger",MON,Monaco,Summer,Male,Shooting,0,0,0,0,4
/olympics/athletes/ab/shiny-abraham-wilson-1.html,"Abraham-Wilson,Shiny",IND,India,Summer,Female,Athletics,0,0,0,0,4
/olympics/athletes/ac/amy-acuff-1.html,"Acuff,Amy",USA,United States,Summer,Female,Athletics,0,0,0,0,5
/olympics/athletes/ac/paul-accola-1.html,"Accola,Paul",SUI,Switzerland,Winter,Male,Alpine Skiing,0,0,1,1,5
/olympics/athletes/ad/adrianinha-1.html,Adrianinha,BRA,Brazil,Summer,Female,Basketball,0,0,1,1,5
/olympics/athletes/ad/erik-adlerz-1.html,"Adlerz,Erik",SWE,Sweden,Summer,Male,Diving,2,1,0,3,4
/olympics/athletes/ad/james-addy-1.html,"Addy,James",GHA,Ghana,Summer,Male,Athletics,0,0,0,0,4
/olympics/athletes/ad/jenny-addams-1.html,"Addams,Jenny",BEL,Belgium,Summer,Female,Fencing,0,0,0,0,4
/olympics/athletes/ad/phil-adams-1.html,"Adams,Phil",AUS,Australia,Summer,Male,Shooting,0,0,0,0,4
/olympics/athletes/ad/valerie-adams-vili-1.html,"Adams-Vili,Valerie",NZL,New Zealand,Summer,Female,Athletics,2,1,0,3,4
/olympics/athletes/af/georgios-afroudakis-1.html,"Afroudakis,Georgios",GRE,Greece,Summer,Male,Water Polo,0,0,0,0,5
/olympics/athletes/af/khristos-afroudakis-1.html,"Afroudakis,Khristos",GRE,Greece,Summer,Male,Water Polo,0,0,0,0,4
/olympics/athletes/ag/luca-agamennoni-1.html,"Agamennoni,Luca",ITA,Italy,Summer,Male,Rowing,0,1,1,2,4
/olympics/athletes/ag/renzo-agresta-1.html,"Agresta,Renzo",BRA,Brazil,Summer,Male,Fencing,0,0,0,0,4
/olympics/athletes/ah/christian-ahlmann-1.html,"Ahlmann,Christian",GER,Germany,Summer,Male,Equestrianism,0,0,2,2,4
/olympics/athletes/ah/janne-ahonen-1.html,"Ahonen,Janne",FIN,Finland,Winter,Male,Ski Jumping,0,2,0,2,6
/olympics/athletes/ah/juha-ahokas-1.html,"Ahokas,Juha",FIN,Finland,Summer,Male,Wrestling,0,0,0,0,4
/olympics/athletes/ai/artur-aivazian-1.html,"Aivazian,Artur",UKR,Ukraine,Summer,Male,Shooting,1,0,0,1,4
/olympics/athletes/ai/ben-ainslie-1.html,"Ainslie,Ben",GBR,Great Britain,Summer,Male,Sailing,4,1,0,5,5
/olympics/athletes/ai/magdalena-aicega-1.html,"Aicega,Magdalena",ARG,Argentina,Summer,Female,Hockey,0,1,2,3,4
/olympics/athletes/ai/souad-ait-salem-1.html,"AA t Salem,Souad",ALG,Algeria,Summer,Female,Athletics,0,0,0,0,4
/olympics/athletes/ak/giorgos-akhilleos-1.html,"Akhilleos,Giorgos",CYP,Cyprus,Summer,Male,Shooting,0,0,0,0,4
/olympics/athletes/al/abdullah-al-rashidi-1.html,"Al-Rashidi,Abdullah",KUW,Kuwait,Summer,Male,Shooting,0,0,0,0,5
/olympics/athletes/al/alberto-alberani-samaritani-1.html,"Alberani Samaritani,Alberto",ITA,Italy,Summer,Male,Water Polo,0,1,0,1,4
