Country,Sport,Year,Participants,ContinentCode
United States,Rugby,1900,1,North America
United States,Polo,1900,4,North America
United States,Golf,1900,8,North America
Spain,Basque Pelota,1900,2,Europe
Mexico,Polo,1900,3,North America
Haiti,Rugby,1900,1,North America
Greece,Golf,1900,1,Europe
Great Britain,Rugby,1900,15,Europe
Great Britain,Polo,1900,6,Europe
Great Britain,Golf,1900,5,Europe
Great Britain,Cricket,1900,21,Europe
Germany,Rugby,1900,15,Europe
France,Tug-Of-War,1900,2,Europe
France,Rugby,1900,12,Europe
France,Polo,1900,7,Europe
France,Golf,1900,7,Europe
France,Croquet,1900,9,Europe
France,Cricket,1900,3,Europe
Denmark,Tug-Of-War,1900,2,Europe
Colombia,Tug-Of-War,1900,1,South America
United States,Tug-Of-War,1904,13,North America
United States,Roque,1904,4,North America
United States,Lacrosse,1904,12,North America
United States,Golf,1904,69,North America
South Africa,Tug-Of-War,1904,5,Africa
Greece,Tug-Of-War,1904,3,Europe
Great Britain,Golf,1904,2,Europe
Canada,Lacrosse,1904,24,North America
Canada,Golf,1904,3,North America
Sweden,Tug-Of-War,1906,5,Europe
Greece,Tug-Of-War,1906,5,Europe
United States,Jeu De Paume,1908,2,North America
Sweden,Tug-Of-War,1908,8,Europe
Great Britain,Tug-Of-War,1908,21,Europe
Great Britain,Rugby,1908,15,Europe
Great Britain,Racquets,1908,5,Europe
Great Britain,Polo,1908,12,Europe
Great Britain,Motorboating,1908,13,Europe
Great Britain,Lacrosse,1908,12,Europe
Great Britain,Jeu De Paume,1908,7,Europe
France,Motorboating,1908,1,Europe
Canada,Lacrosse,1908,12,North America
Australasia,Rugby,1908,15,Asia
Sweden,Tug-Of-War,1912,8,Europe
Great Britain,Tug-Of-War,1912,8,Europe
United States,Tug-Of-War,1920,8,North America
United States,Rugby,1920,14,North America
United States,Polo,1920,4,North America
Spain,Polo,1920,5,Europe
Netherlands,Tug-Of-War,1920,8,Europe
Italy,Tug-Of-War,1920,8,Europe
Great Britain,Tug-Of-War,1920,8,Europe
Great Britain,Polo,1920,4,Europe
France,Rugby,1920,14,Europe
Belgium,Tug-Of-War,1920,7,Europe
Belgium,Polo,1920,4,Europe
United States,Rugby,1924,19,North America
United States,Polo,1924,4,North America
Switzerland,Military Ski Patrol,1924,3,Europe
Sweden,Curling,1924,8,Europe
Spain,Polo,1924,6,Europe
Romania,Rugby,1924,16,Europe
Poland,Military Ski Patrol,1924,3,Europe
Nepal,Alpinism,1924,1,Asia
Italy,Military Ski Patrol,1924,4,Europe
India,Alpinism,1924,7,Asia
Great Britain,Polo,1924,4,Europe
Great Britain,Curling,1924,4,Europe
Great Britain,Alpinism,1924,12,Europe
France,Rugby,1924,19,Europe
France,Polo,1924,5,Europe
France,Military Ski Patrol,1924,3,Europe
France,Curling,1924,3,Europe
Finland,Military Ski Patrol,1924,4,Europe
Czechoslovakia,Military Ski Patrol,1924,3,Europe
Australia,Alpinism,1924,1,Oceana
Argentina,Polo,1924,5,South America
United States,Skeleton,1928,1,North America
Switzerland,Skeleton,1928,2,Europe
Italy,Skeleton,1928,2,Europe
Great Britain,Skeleton,1928,1,Europe
France,Skeleton,1928,1,Europe
Austria,Skeleton,1928,2,Europe
Germany,Alpinism,1932,2,Europe
Switzerland,Alpinism,1936,1,Europe
Switzerland,Aeronautics,1936,1,Europe
Mexico,Polo,1936,4,North America
Hungary,Polo,1936,5,Europe
Great Britain,Polo,1936,4,Europe
Germany,Polo,1936,4,Europe
Argentina,Polo,1936,4,South America
United States,Skeleton,1948,4,North America
Switzerland,Skeleton,1948,4,Europe
Great Britain,Skeleton,1948,4,Europe
Austria,Skeleton,1948,1,Europe
United States,Softball,1996,15,North America
United States,Beach Volleyball,1996,12,North America
Sweden,Beach Volleyball,1996,2,Europe
Spain,Beach Volleyball,1996,4,Europe
Puerto Rico,Softball,1996,15,North America
Portugal,Beach Volleyball,1996,2,Europe
Norway,Beach Volleyball,1996,4,Europe
New Zealand,Beach Volleyball,1996,2,Oceana
Netherlands,Softball,1996,15,Europe
Netherlands,Beach Volleyball,1996,4,Europe
Mexico,Beach Volleyball,1996,2,North America
Japan,Softball,1996,15,Asia
Japan,Beach Volleyball,1996,6,Asia
Italy,Beach Volleyball,1996,4,Europe
Indonesia,Beach Volleyball,1996,4,Asia
Great Britain,Beach Volleyball,1996,2,Europe
Germany,Beach Volleyball,1996,4,Europe
France,Beach Volleyball,1996,4,Europe
Estonia,Beach Volleyball,1996,2,Europe
Czech Republic,Beach Volleyball,1996,2,Europe
Cuba,Beach Volleyball,1996,2,North America
Chinese Taipei,Softball,1996,15,Asia
China,Softball,1996,15,Asia
Canada,Softball,1996,15,North America
Canada,Beach Volleyball,1996,6,North America
Brazil,Beach Volleyball,1996,8,South America
Australia,Softball,1996,15,Oceana
Australia,Beach Volleyball,1996,6,Oceana
Argentina,Beach Volleyball,1996,2,South America
United States,Curling,1998,10,North America
Switzerland,Curling,1998,5,Europe
Sweden,Curling,1998,10,Europe
Norway,Curling,1998,10,Europe
Japan,Curling,1998,10,Asia
Great Britain,Curling,1998,10,Europe
Germany,Curling,1998,10,Europe
Denmark,Curling,1998,5,Europe
Canada,Curling,1998,10,North America
Zimbabwe,Triathlon,2000,1,Africa
Venezuela,Triathlon,2000,1,South America
Uzbekistan,Trampolining,2000,1,Asia
United States,Triathlon,2000,6,North America
United States,Trampolining,2000,1,North America
United States,Softball,2000,15,North America
United States,Beach Volleyball,2000,8,North America
Ukraine,Triathlon,2000,2,Europe
Ukraine,Trampolining,2000,2,Europe
Switzerland,Triathlon,2000,6,Europe
Switzerland,Trampolining,2000,1,Europe
Switzerland,Beach Volleyball,2000,2,Europe
Sweden,Triathlon,2000,1,Europe
Sweden,Beach Volleyball,2000,2,Europe
Spain,Triathlon,2000,4,Europe
Spain,Beach Volleyball,2000,2,Europe
South Africa,Triathlon,2000,2,Africa
Russia,Triathlon,2000,1,Europe
Russia,Trampolining,2000,2,Europe
Russia,Beach Volleyball,2000,2,Europe
Portugal,Beach Volleyball,2000,4,Europe
Norway,Beach Volleyball,2000,4,Europe
